skill_name	status	hermes_mtime	aaa_mtime	hermes_bytes	aaa_bytes
AAA-asr-glm-ingest	identical	2026-08-19 03:03:37	2026-08-18 22:05:26	7284	7284
AAA-audio-emd-pipeline	aaa_newer	2026-08-19 03:03:37	2026-08-19 18:02:55	10612	13398
AAA-audio-qualia-doctrine	identical	2026-08-19 03:03:37	2026-08-18 22:05:26	14334	14334
AAA-OCR-optical-compression	aaa_newer	2026-08-10 19:51:38	2026-08-13 13:43:21	5268	5397
aaa-pdf-voice-protocol	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	4615	4615
AAA-setup-help	identical	2026-08-10 12:10:31	2026-08-10 12:10:31	5231	5231
AAA-somatic-emd-pipeline	identical	2026-08-19 03:03:37	2026-08-18 22:18:46	19254	19254
AAA-somatic-engine-catalog	identical	2026-08-19 03:03:37	2026-08-18 22:18:46	11323	11323
AAA-somatic-music-doctrine	identical	2026-08-19 03:03:37	2026-08-18 22:18:46	15997	15997
AAA-tts-engine-catalog	aaa_newer	2026-08-19 03:03:37	2026-08-19 18:02:55	9138	12900
AAA-voice-cloning-mimo-minimax	aaa_newer	2026-08-19 03:03:37	2026-08-19 18:02:55	8608	9931
AAA-voice-cloning-qwen-cloud	identical	2026-08-19 03:03:37	2026-08-18 22:05:26	9661	9661
AGI-audio-quantum-cognition	identical	2026-08-19 03:03:37	2026-08-13 23:25:28	7026	7026
AGI-decisions-reflect	identical	2026-08-10 12:10:32	2026-08-10 12:10:32	5037	5037
AGI-dream-engine	identical	2026-08-10 12:10:32	2026-08-10 12:10:32	16159	16159
AGI-graph-engineering-patterns	identical	2026-08-19 03:03:37	2026-08-18 15:57:14	15288	15288
AGI-multimodal-bridge	aaa_newer	2026-08-10 19:51:38	2026-08-14 00:12:34	1929	2715
AGI-nusantara-substrate	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	7666	7666
AGI-plan-dag	identical	2026-08-13 13:43:21	2026-08-13 13:43:21	5421	5421
AGI-skill-unification	hermes_newer	2026-08-10 19:51:38	2026-08-10 12:10:35	4939	4995
AGI-web-optimization	identical	2026-08-20 01:08:41	2026-08-20 01:08:41	9643	9643
apex_audit_coverage_check	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	2399	2399
apex_authority_check	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	1911	1911
APEX-fff-loop-protocol	identical	2026-08-10 12:10:37	2026-08-10 12:10:37	2981	2981
apex_floor_check	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	8118	8118
APEX-humility-godel	identical	2026-08-10 12:10:37	2026-08-10 12:10:37	3172	3172
APEX-quantum-eureka	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	12509	12509
apex_reversibility_test	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	1420	1420
apex_scope_check	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	8110	8110
apex_tool_approval_gate	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	7093	7093
apex_verdict_hold	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	10372	10372
apex_verdict_seal	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	10368	10368
arifos-constitutional-judge	identical	2026-08-10 12:11:08	2026-08-10 12:11:08	3777	3777
arifos-external-council	aaa_newer	2026-07-24 11:01:22	2026-08-10 12:11:08	13102	13214
arifos-kernel-zen-audit	aaa_newer	2026-07-27 09:02:42	2026-08-10 12:11:08	48066	48178
ASI-agentic-architecture	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	5310	5310
ASI-agentic-governance	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	16873	16873
ASI-agent-invariants	identical	2026-08-19 19:41:39	2026-08-19 19:41:39	16087	16087
ASI-drift-watch	identical	2026-08-13 13:43:21	2026-08-13 13:43:21	4415	4415
ASI-fabrication-prevention	identical	2026-08-10 12:10:37	2026-08-10 12:10:37	2038	2038
ASI-skill-binding	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	5382	5382
ASI-summarize	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	17414	17414
atlas333-cognitive-geometry	identical	2026-08-10 12:11:08	2026-08-10 12:11:08	10775	10775
AUDIT-agent-skill-mesh	aaa_newer	2026-08-08 10:43:04	2026-08-10 12:10:38	6642	6698
AUDIT-drift-detector	identical	2026-08-10 12:10:38	2026-08-10 12:10:38	2996	2996
AUDIT-recursive-audit	hermes_newer	2026-08-10 19:51:38	2026-08-10 12:10:39	12351	12405
AUDIT-repo-reality	identical	2026-08-19 03:03:37	2026-08-14 20:22:38	2821	2821
AUDIT-skill-atlas	identical	2026-08-10 12:10:40	2026-08-10 12:10:40	30244	30244
BIOHACK-PEPTIDES	aaa_missing	2026-08-20 17:10:59	-	4513	-
causal555-pywhy	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	499	499
check-work	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	12946	12946
code-review	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	12383	12383
cognitive-commands	aaa_newer	2026-07-29 21:03:14	2026-08-17 17:49:34	19647	19764
cognitive-level-assertion-protocol	aaa_newer	2026-07-24 11:03:36	2026-08-10 12:11:08	16757	16869
companion-clis	identical	2026-08-13 03:02:48	2026-08-10 14:20:43	4128	4128
COPILOT-zen-router	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	18534	18534
create-skill	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	3387	3387
delta-omega-psi-multimodal-cognition	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	4876	4876
docs	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	368	368
EUREKA777-paradox-resolution	identical	2026-08-10 12:10:41	2026-08-10 12:10:41	8226	8226
external-artifact-verdict	aaa_newer	2026-08-04 21:02:17	2026-08-10 12:11:08	32559	32671
federated-skill-architecture	hermes_newer	2026-08-12 07:14:35	2026-08-10 12:11:08	21008	17363
